atm_id,cardreader_error_by_day,hours_since_last_cdm_error,avg_cdm_dispense_count_distinct_day,status_count,avg_cdm_delivery_status_null,related_to_status,avg_cardreader_error,avg_reply_count_distinct_day,avg_session_error_count,avg_request_count_distinct_day,avg_receipt_confirm_count,avg_cdm_dispense_amount,bna_error_by_disticnt_day,non_related_to_status,avg_bna_return_count,non_related_to_transactions,total_errors
0,0.0,336.0,0.7268134976762982,19,0.2733885633461305,0.05263157894736842,0.0,1.4798949282683371,0.05435441503334007,1.4788846231561932,1.5728429985855727,3779.9277175423963,0.0,0.0,0.0,0.0,1
0,0.0,336.0,0.6648913506604176,17,0.33532168726033235,0.0,0.0,1.4337452066467833,0.04495100127822752,1.4335321687260332,1.4929697486152536,3406.829111894838,0.0,0.0,0.0,0.0,0
0,0.0,399.9877777777778,0.6648033539628668,17,0.3351966460371332,0.1176470588235294,0.0,1.4388101417448593,0.05849470952285885,1.4374126572170094,1.4875224595727692,3470.7807807807812,0.0,0.0,0.0,0.0,2
0,0.0,389.5563888888889,0.7749352331606217,23,0.26868408986703346,0.17391304347826084,0.0,1.5476036269430051,0.052575271282286416,1.5464702072538858,1.5694635488308115,3436.9070010449323,0.0,0.0,0.0,0.0,4
0,0.0,336.0,1.4658005349636989,40,0.26709973251815056,0.15,0.0,2.9480320978219337,0.04929308368360719,2.945739396255254,1.5766144440198702,3904.0928050052144,0.0,0.0,0.0,0.0,6
0,0.0,336.0,1.4073578595317726,36,0.2967670011148272,0.05555555555555555,0.0,2.862876254180602,0.05551839464882943,2.861092530657748,1.5237458193979934,3452.0291693088147,0.0,0.0,0.0,0.0,2
0,0.0,336.0,1.3910891089108908,34,0.3049504950495049,0.0,0.0,2.9544554455445544,0.05643564356435644,2.9539603960396037,1.5586633663366336,3949.0203063769154,0.0,0.0,0.0,0.0,0
0,0.0,336.0,1.4654669260700388,36,0.26750972762645914,0.0,0.0,2.8876459143968867,0.05447470817120623,2.8866731517509727,1.5761186770428015,3641.4010624169987,0.0,0.0,0.0,0.0,0
0,0.0,336.0,1.4235009411132025,36,0.2887873084162409,0.0,0.0,2.721161602581339,0.0578112395805324,2.7179349287442864,1.521645603656897,3594.629349470499,0.0,0.0,0.0,0.0,0
0,0.0,407.8225,1.3357947920715119,36,0.3326855810338127,0.1111111111111111,0.0,2.2798289933929263,0.042751651768363784,2.2778857364943645,1.3791294209094442,3739.29507719196,0.0,0.0,0.0,0.0,4
0,0.0,336.0,1.3799084557937846,40,0.31076848952059744,0.15,0.0,2.3319682004336304,0.046735726331004576,2.3290773307636714,1.4355576969404962,3710.9867039888036,0.0,0.0,0.0,0.0,6
0,0.0,336.0,1.366783743100853,32,0.3168590065228299,0.0,0.0,2.31259407927747,0.040642247867536375,2.3090817862518818,1.422980431510286,3979.838413514506,0.0,0.0,0.0,0.0,0
0,0.0,365.325,1.3348292196459737,38,0.3330840189478933,0.10526315789473684,0.0,2.2847170281725258,0.04736973323360758,2.279730740463725,1.380952380952381,3567.0403587443952,0.0,0.0,0.0,0.0,4
0,0.0,399.9902777777778,1.3917029566811827,36,0.30414852165940864,0.1111111111111111,0.0,2.2658721063488425,0.045840018336007336,2.260829704331882,1.468255787302315,3474.736495388669,0.0,0.0,0.0,0.0,4
0,0.0,492.36083333333335,1.3954219030520647,38,0.3025134649910233,0.05263157894736842,0.0,2.2612208258527837,0.04600538599640933,2.2580789946140034,1.4667863554757632,3229.8906048906047,0.0,0.0,0.0,0.0,2
0,0.0,263.39722222222224,1.4396965865992415,34,0.2809102402022756,0.05882352941176471,0.0,2.2584070796460183,0.05891276864728193,2.2528445006321114,1.4664981036662452,3689.556962025317,0.0,0.0,0.0,0.0,2
0,0.0,390.4886111111112,1.6763627474945002,43,0.2865472719700125,0.06976744186046513,0.0,2.7086286971400635,0.04956268221574344,2.704717672940601,1.4650145772594751,3124.415887850467,0.0,0.0,0.0,0.0,3
0,0.0,390.8861111111111,1.9212933418421607,55,0.3209579034565856,0.054545454545454536,0.0,3.0555201021059357,0.048121093455832514,3.0504148053605618,1.3915204458167028,3620.8079014537793,0.0,0.0,0.0,0.0,3
1,0.0,336.0,0.73046875,14,0.2703125,0.0,0.0,1.72734375,0.07109375,1.7265625,1.91484375,2762.20556745182,0.0,0.0,0.0,0.0,0
1,0.0,254.4180555555556,0.7167859984089101,15,0.2840095465393795,0.06666666666666668,0.0,1.8337311058074781,0.07239459029435164,1.8329355608591889,1.954653937947494,2727.0,0.0,0.0,0.0,0.0,1
1,0.0,336.0,0.7634730538922155,16,0.2372754491017964,0.0,0.0,1.8600299401197604,0.06736526946107785,1.8592814371257484,2.0052395209580838,3373.4052993130517,0.0,0.0,0.0,0.0,0
1,0.0,471.7569444444445,0.7382753403933434,16,0.2632375189107413,0.0625,0.0,1.8812405446293488,0.07261724659606658,1.879727685325265,1.9962178517397882,3150.308008213552,0.0,0.0,0.0,0.0,1
1,0.0,336.0,0.7384318766066839,15,0.262853470437018,0.0,0.0,1.8123393316195373,0.07647814910025708,1.811053984575836,1.967223650385604,3513.426329555362,0.0,0.0,0.0,0.0,0
1,0.0,326.49333333333334,0.7432795698924731,16,0.2573924731182796,0.0625,0.0,1.6633064516129032,0.0739247311827957,1.6599462365591398,1.9791666666666667,2755.565610859729,0.0,0.0,0.0,0.0,1
1,0.0,336.0,0.7845448592010478,16,0.21611001964636545,0.0,0.0,1.738048461034709,0.06745252128356254,1.738048461034709,1.9901768172888008,3456.390977443609,0.0,0.0,0.0,0.0,0
